year,km driven,fuel type,seller type,transmission,owner,seats,max_power (in bph),Mileage,Engine (CC),selling price
2014,145500,Diesel,Individual,Manual,1,5,74,23.4,1248,450000
2010,127000,Diesel,Individual,Manual,1,5,90,23,1396,225000
2017,45000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,440000
2011,90000,Diesel,Individual,Manual,1,5,67.1,23.59,1364,350000
2013,169000,Diesel,Individual,Manual,1,5,68.1,20,1399,200000
2012,53000,Diesel,Individual,Manual,2,5,90,23,1396,500000
2002,80000,Petrol,Individual,Manual,2,5,46.3,19.7,796,150000
2016,100000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,680000
2011,100000,Diesel,Individual,Manual,2,5,64.1,21,1461,174000
2012,72000,Diesel,Individual,Manual,1,5,88.8,21.5,1248,600000
2018,35000,Petrol,Individual,Manual,1,5,83.81,20.3,1199,500000
2016,45000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,575000
2018,64000,Petrol,Dealer,Manual,1,5,103.25,20.65,1462,850000
2011,120000,Diesel,Individual,Manual,1,5,88.8,21.12,1248,265000
2011,110000,Petrol,Individual,Manual,3,5,78.9,20.36,1197,190000
2013,60000,Diesel,Individual,Manual,1,5,88.76,21.27,1396,425000
2019,30000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,650000
2016,40000,Diesel,Individual,Manual,1,5,108.495,22,1498,540000
2018,30000,Petrol,Individual,Automatic,1,5,67,20.51,998,448000
2017,80000,Diesel,Individual,Manual,1,5,108.62,21.66,1498,500000
2011,60000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,235000
2013,120000,Diesel,Individual,Manual,2,5,74,22.9,1248,450000
2013,170000,Diesel,Individual,Manual,1,5,103.6,20.54,1598,450000
2015,90000,Diesel,Individual,Manual,1,5,98.59,22.77,1498,610000
2017,10000,Petrol,Dealer,Manual,1,5,67.04,23.1,998,484999
2012,28000,Petrol,Dealer,Manual,1,5,68.05,19.81,1086,290000
2015,45000,Petrol,Dealer,Manual,2,5,68.05,19.81,1086,351000
2008,68000,Petrol,Dealer,Manual,3,5,46.3,19.7,796,120000
2017,110000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,725000
2009,77000,Petrol,Dealer,Manual,2,5,67.05,21.79,998,185000
2019,10000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,615000
2018,35000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,610000
2013,150000,Diesel,Individual,Manual,2,5,126.32,22.32,1582,522000
2013,69000,Diesel,Individual,Manual,1,5,88.76,21.9,1396,451999
2020,13000,Petrol,Individual,Manual,1,5,67.04,21.63,998,475000
2017,40000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,595000
2017,35000,Petrol,Individual,Manual,1,5,67.04,20.51,998,440000
2016,50000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,1140000
2017,76139,Diesel,Individual,Manual,1,5,98.96,23,1498,850000
2018,25000,Petrol,Individual,Manual,1,5,67,23.01,999,350000
2015,40000,Petrol,Individual,Manual,2,5,67.04,23.1,998,360000
2008,65000,Petrol,Individual,Manual,4,5,46.3,19.7,796,105000
2013,90000,Diesel,Individual,Manual,2,7,88.76,20.77,1248,625000
2015,110000,Diesel,Individual,Manual,2,7,88.76,20.77,1248,700000
2012,24300,Petrol,Dealer,Manual,1,5,81.8,21.21,1197,340000
2018,8000,Diesel,Dealer,Automatic,1,5,108.5,21.5,1497,1025000
2011,100000,Diesel,Individual,Manual,2,5,103.6,20.54,1598,300000
2011,120000,Diesel,Individual,Manual,1,5,68,20,1399,160000
2015,36600,Petrol,Individual,Manual,1,5,81.8,20.4,1197,515000
2015,50000,Petrol,Individual,Automatic,2,5,67,20.51,998,390000
2010,120000,Diesel,Individual,Manual,1,5,73.9,21.1,1248,220000
2010,60000,Diesel,Individual,Manual,1,5,87.2,21.43,1364,300000
2017,90000,Diesel,Individual,Manual,1,5,74,22.95,1248,490000
2016,60000,Petrol,Individual,Manual,2,5,83.14,20.85,1197,459999
2019,14000,Petrol,Individual,Manual,1,5,84,20.3,1199,520000
2015,70000,Diesel,Individual,Manual,1,7,88.76,20.77,1248,580000
2017,50000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,550000
2018,35000,Petrol,Individual,Automatic,1,5,67,20.51,998,420000
2017,20000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,550000
2018,7800,Petrol,Individual,Automatic,1,5,81.8,22,1197,700000
2017,20000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,500000
2015,60000,Petrol,Individual,Manual,1,5,67.04,20.51,998,290000
2018,5000,Petrol,Individual,Automatic,1,5,83.1,21.4,1197,830000
2011,25000,Petrol,Individual,Manual,2,5,46.3,19.7,796,160000
2020,32000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,524000
2015,40000,Petrol,Individual,Manual,1,5,47.3,22.74,796,245000
2016,140000,Petrol,Individual,Manual,1,5,67.04,20.51,998,350000
2010,110000,Diesel,Individual,Manual,2,5,73.9,21.1,1248,250000
2017,37000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,1100000
2015,80000,Diesel,Individual,Manual,1,7,88.76,20.77,1248,640000
2013,70000,Diesel,Individual,Manual,1,5,74,23.4,1248,550000
2009,53000,Petrol,Individual,Manual,2,5,78.9,20.36,1197,200000
2014,120000,Diesel,Individual,Manual,2,5,74,23.4,1248,500000
2015,100000,Petrol,Individual,Manual,1,5,83.11,20.4,1197,350000
2017,39000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,800000
2013,92500,Diesel,Individual,Manual,1,5,126.3,22.32,1582,530000
2012,158000,Diesel,Individual,Manual,1,5,74,23.4,1248,360000
2015,20000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,525000
2014,80000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,375000
2015,70000,Diesel,Individual,Manual,4,5,88.73,22.54,1396,500000
2012,60000,Diesel,Individual,Manual,1,5,88.76,21.02,1248,290000
2005,45000,Petrol,Individual,Manual,2,5,46.3,19.7,796,110000
2016,20000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,520000
2019,16500,Petrol,Individual,Manual,1,5,81.8,21.01,1197,675000
2005,99361,Petrol,Individual,Manual,2,5,46.3,19.7,796,90000
2018,10000,Petrol,Individual,Automatic,1,5,84,20.3,1199,645000
2017,47000,Petrol,Individual,Manual,1,5,67.04,20.51,998,409999
2018,25000,Diesel,Individual,Manual,1,5,88.7,21.38,1396,1210000
2016,50000,Petrol,Individual,Automatic,1,5,83.1,21.4,1197,650000
2014,50000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,400000
2017,36000,Petrol,Individual,Manual,1,5,67.04,23.1,998,351000
2011,185000,Diesel,Individual,Manual,3,5,73.9,21.1,1248,185000
2005,80000,Petrol,Individual,Manual,4,5,46.3,19.7,796,85000
2013,110000,Diesel,Individual,Manual,3,7,88.76,20.77,1248,480000
2010,90000,Diesel,Individual,Manual,2,5,68,20,1399,170000
2018,52000,Petrol,Dealer,Manual,1,5,81.8,22,1197,610000
2018,13000,Petrol,Dealer,Manual,1,5,53.26,20.71,799,390000
2013,70000,Diesel,Dealer,Manual,2,5,67.06,23.59,1364,400000
2009,60000,Petrol,Dealer,Manual,1,5,78.9,20.36,1197,215000
2014,40000,Diesel,Dealer,Manual,1,5,83.8,20.45,1461,570000
2010,70000,Petrol,Individual,Manual,4,5,78.9,20.36,1197,140000
2013,58343,Petrol,Trustmark Dealer,Manual,1,5,67.05,21.79,998,225000
2019,5621,Petrol,Trustmark Dealer,Automatic,1,5,81.8,22,1197,650000
2018,69779,Petrol,Dealer,Automatic,1,5,81.8,22,1197,600000
2010,106000,Petrol,Individual,Manual,3,5,78.9,20.36,1197,150000
2014,70000,Diesel,Individual,Manual,3,5,126.32,22.32,1582,535000
2012,100000,Diesel,Individual,Manual,2,5,88.8,21.5,1248,300000
2016,50000,Petrol,Individual,Manual,1,5,47.3,22.74,796,240000
2010,80000,Petrol,Individual,Manual,1,5,67.1,20.92,998,150000
2013,50000,Petrol,Individual,Manual,2,5,55.2,21.1,814,219000
2017,45000,Diesel,Individual,Manual,1,5,88.7,21.38,1396,950000
2010,80000,Petrol,Individual,Manual,2,5,46.3,19.7,796,160000
2013,67000,Diesel,Individual,Manual,1,5,67.1,23.59,1364,450000
2013,120000,Diesel,Individual,Manual,2,5,74,23.4,1248,530000
2015,110000,Diesel,Individual,Manual,2,5,88.8,20.14,1498,520000
2011,170000,Diesel,Individual,Manual,2,5,64.1,21,1461,229999
2014,50000,Petrol,Individual,Manual,1,5,67.04,23.1,998,320000
2015,70000,Diesel,Individual,Manual,1,5,68.05,20,1399,292000
2014,25000,Petrol,Individual,Manual,1,5,67.04,23.1,998,385000
2019,10000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,675000
2018,30000,Diesel,Individual,Manual,1,5,98.96,23,1498,950000
2015,50000,Diesel,Individual,Manual,2,5,88.73,21.19,1396,610000
2012,120000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,525000
2015,50000,Petrol,Individual,Manual,2,5,83.11,20.4,1197,434999
2018,18000,Diesel,Dealer,Manual,1,5,108.45,19.6,1461,1050000
2013,60000,Diesel,Individual,Manual,2,5,90,23.5,1498,300000
2008,50000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,229999
2018,60000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,500000
2014,25000,Petrol,Individual,Manual,1,5,47.3,22.74,796,250000
2011,70000,Diesel,Individual,Manual,2,5,103.6,20.54,1598,250000
2013,45000,Diesel,Individual,Manual,1,5,67.06,23.59,1364,409999
2016,50000,Petrol,Individual,Manual,1,5,47.3,22.74,796,270000
2011,90000,Petrol,Individual,Manual,1,5,67.1,20.92,998,165000
2013,60000,Petrol,Individual,Manual,1,5,55.2,21.1,814,180000
2009,60000,Petrol,Individual,Manual,3,5,46.3,19.7,796,125000
2012,90000,Diesel,Individual,Manual,1,5,103.6,20.54,1598,450000
2011,46000,Petrol,Individual,Manual,1,5,67.1,20.92,998,210000
2017,15000,Petrol,Individual,Manual,2,5,55.2,21.1,814,320000
2009,70000,Petrol,Individual,Manual,2,5,46.3,19.7,796,130000
2013,70000,Diesel,Individual,Manual,2,5,67,19.68,1399,200000
2002,50000,Petrol,Individual,Manual,2,5,46.3,19.7,796,140000
2015,60000,Petrol,Individual,Manual,1,5,47.3,22.74,796,236000
2015,40000,Petrol,Individual,Manual,1,5,67.04,20.51,998,390000
2016,58000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,850000
2017,10000,Petrol,Individual,Manual,1,5,55.2,21.1,814,300000
2019,25000,Petrol,Individual,Automatic,4,5,68,20.3,1086,466000
2014,54000,Diesel,Dealer,Manual,1,5,98.96,23,1498,484999
2011,120000,Diesel,Individual,Manual,2,5,90,23,1396,220000
2013,120000,Diesel,Individual,Manual,2,7,88.8,20.77,1248,630000
2013,75000,Diesel,Individual,Automatic,1,5,126.3,22.32,1582,525000
2013,70000,Diesel,Individual,Manual,2,5,68.1,20,1399,245000
2012,76000,Petrol,Individual,Manual,4,5,78.9,20.36,1197,210000
2020,1500,Petrol,Individual,Manual,1,5,81.8,21.21,1197,730000
2015,40000,Petrol,Individual,Manual,1,5,67.04,20.51,998,400000
2015,60000,Petrol,Individual,Manual,2,5,55.2,21.1,814,280000
2017,40906,Diesel,Dealer,Manual,1,5,108.62,21.66,1498,700000
2012,43755,Petrol,Dealer,Manual,2,5,55.2,21.1,814,270000
2011,221889,Diesel,Dealer,Manual,1,5,126.32,22.32,1582,400000
2015,150546,Petrol,Dealer,Manual,1,5,81.8,22,1197,500000
2011,80000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,200000
2016,25000,Petrol,Individual,Manual,1,5,67,23.01,999,350000
2013,24000,Petrol,Individual,Manual,1,5,47.3,22.74,796,200000
2012,70000,Diesel,Individual,Manual,2,5,68,20,1399,300000
2008,80000,Petrol,Individual,Manual,2,5,68.05,19.81,1086,135000
2011,70000,Diesel,Individual,Manual,2,5,74,22.9,1248,300000
2014,80000,Diesel,Individual,Manual,1,5,74,23.4,1248,420000
2015,50000,Petrol,Individual,Manual,1,5,55.2,21.1,814,235000
2016,125000,Diesel,Individual,Manual,1,5,98.59,22.77,1498,650000
2016,80000,Petrol,Individual,Manual,1,5,67.04,20.51,998,350000
2010,90000,Diesel,Individual,Manual,3,5,90,23,1396,270000
2017,50000,Diesel,Individual,Manual,1,5,74,22.95,1248,450000
2008,98000,Petrol,Individual,Manual,3,5,78.9,20.36,1197,275000
2012,90000,Petrol,Individual,Manual,3,5,46.3,19.7,796,215000
2019,25000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,655000
2019,30000,Diesel,Individual,Manual,3,5,98.96,23,1498,800000
2011,72000,Diesel,Individual,Manual,2,5,103.6,20.54,1598,300000
2015,50000,Petrol,Individual,Manual,2,5,67.04,20.51,998,320000
2010,20000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,210000
2016,50000,Petrol,Individual,Manual,1,5,67,23.01,999,300000
2015,17000,Petrol,Individual,Manual,1,5,55.2,21.1,814,290000
2016,50000,Petrol,Individual,Manual,1,5,67.04,23.1,998,395000
2014,65000,Petrol,Individual,Manual,2,5,55.2,21.1,814,195000
2015,50000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,715000
2012,135000,Diesel,Individual,Manual,1,5,88.76,21.9,1396,335000
2014,35000,Petrol,Individual,Manual,1,5,67.04,23.1,998,300000
2013,80000,Diesel,Individual,Manual,1,5,88.76,21.02,1248,280000
2018,10000,Petrol,Individual,Manual,1,5,81.86,20.14,1197,500000
2017,35000,Petrol,Individual,Manual,1,5,67,23.01,999,300000
2014,60000,Diesel,Individual,Manual,2,5,88.8,20.14,1498,350000
2015,30000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,450000
2011,80000,Petrol,Individual,Manual,2,5,55.2,21.1,814,180000
2013,80000,Petrol,Individual,Manual,2,5,55.2,21.1,814,200000
2005,150000,Petrol,Individual,Manual,2,5,46.3,19.7,796,85000
2010,80000,Diesel,Individual,Manual,4,5,73.9,22.07,1199,275000
2012,100000,Diesel,Individual,Manual,2,5,90,23,1396,321000
2012,40000,Diesel,Individual,Manual,1,5,74,22.3,1248,250000
2010,30000,Petrol,Individual,Manual,3,5,46.3,19.7,796,165000
2013,86000,Diesel,Individual,Manual,2,5,74,22.9,1248,430000
2018,60000,Petrol,Individual,Manual,1,5,67,23.01,999,400000
2015,5000,Petrol,Individual,Manual,1,5,67.04,20.51,998,430000
2017,30000,Petrol,Individual,Manual,1,5,81.8,20.4,1197,573000
2015,40000,Petrol,Individual,Manual,1,5,55.2,21.1,814,210000
2019,15000,Petrol,Individual,Manual,1,5,84,20.3,1199,550000
2008,120000,Petrol,Individual,Manual,1,5,46.3,19.7,796,95000
2009,90000,Petrol,Individual,Manual,4,8,35,19.7,796,101000
2012,38000,Petrol,Individual,Manual,1,5,55.2,21.1,814,244000
2013,90000,Petrol,Individual,Manual,2,5,67.04,20.51,998,250000
2016,60000,Petrol,Individual,Manual,1,5,83.1,21.4,1197,660000
2012,156060,Diesel,Individual,Manual,1,5,73.94,23.2,1248,280000
2017,60000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,1050000
2017,70000,Petrol,Individual,Manual,1,5,83.14,20.85,1197,525000
2015,15000,Petrol,Individual,Manual,1,5,47.3,22.74,796,241000
2015,20000,Petrol,Individual,Manual,1,5,47.3,22.74,796,235000
2015,80000,Diesel,Individual,Manual,1,5,98.59,22.77,1498,615000
2014,110000,Diesel,Individual,Manual,2,5,64.1,20.8,1461,350000
2014,35000,Petrol,Individual,Manual,1,5,67.04,20.51,998,350000
2014,35000,Petrol,Individual,Manual,1,5,67.04,20.51,998,380000
2015,20000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,360000
2016,15000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,425000
2009,58000,Petrol,Individual,Manual,1,5,46.3,19.7,796,120000
2015,43000,Petrol,Individual,Manual,2,5,68.05,20.3,998,204999
2013,60000,Diesel,Individual,Manual,1,7,88.8,20.77,1248,600000
2011,80000,Diesel,Individual,Manual,1,5,126.32,22.32,1582,300000
2015,14000,Diesel,Individual,Manual,1,7,88.76,20.77,1248,750000
2011,57000,Petrol,Individual,Manual,1,5,55.2,21.1,814,160000
2015,60000,Diesel,Individual,Manual,1,5,87.2,21.43,1364,1050000
2010,120000,Diesel,Individual,Manual,2,5,88.8,21.12,1248,150000
2015,25000,Petrol,Individual,Manual,1,5,67.04,23.1,998,350000
2019,12000,Petrol,Individual,Manual,1,7,72,20,999,580000
2010,110000,Diesel,Individual,Manual,2,5,68,20,1399,180000
2010,100000,Diesel,Individual,Manual,4,5,90,21.9,1396,270000
2011,90000,Diesel,Individual,Manual,2,5,68,20,1399,190000
2013,90000,Diesel,Individual,Manual,1,5,67.04,23.59,1364,409999
2015,43000,Petrol,Individual,Manual,1,5,55.2,21.1,814,270000
2017,80000,Diesel,Individual,Manual,1,5,74,22.95,1248,280000
2012,60000,Diesel,Individual,Manual,1,5,74,22.3,1248,130000
2014,18945,Petrol,Individual,Manual,1,5,55.2,21.1,814,260000
2012,107825,Diesel,Individual,Manual,2,5,90,21.9,1396,320000
2020,15000,Petrol,Individual,Manual,1,5,47.3,22.05,796,370000
2018,30000,Diesel,Individual,Manual,1,5,88.76,21.19,1396,750000
2019,10000,Petrol,Individual,Manual,1,5,68,20.3,1086,450000
2012,100000,Diesel,Individual,Manual,3,7,88.76,20.77,1248,400000
2013,60000,Petrol,Individual,Manual,2,5,67.1,20.2,998,199000
2016,80000,Diesel,Individual,Manual,3,5,88.73,21.19,1396,540000
2011,85000,Diesel,Individual,Manual,2,5,88.8,21.5,1248,250000
2012,120000,Diesel,Individual,Manual,2,5,126.32,22.32,1582,450000
2019,15000,Diesel,Individual,Manual,1,5,88.7,22.1,1396,1000000
2012,108000,Diesel,Individual,Manual,1,5,74,23.4,1248,415000
2011,90400,Diesel,Individual,Manual,1,5,68,20,1399,175000
2003,120000,Diesel,Individual,Manual,3,5,58,20.8,1527,85000
2019,5000,Petrol,Individual,Manual,1,5,81.8,21.21,1197,675000
2016,50000,Diesel,Individual,Manual,1,5,83.8,19.87,1461,535000
2019,5000,Petrol,Individual,Manual,1,7,72,20,999,675000
2012,96000,Diesel,Individual,Manual,2,7,88.8,20.77,1248,425000
2017,63186,Diesel,Individual,Manual,1,5,88.73,22.54,1396,850000
2019,5000,Petrol,Individual,Automatic,1,5,83.1,21.4,1197,675000
2010,91500,Petrol,Individual,Manual,1,5,46.3,19.7,796,150000
2012,40000,Diesel,Individual,Manual,1,5,103.6,20.54,1598,350000
2012,70000,Diesel,Individual,Manual,1,5,73.94,23.2,1248,300000
2013,120000,Diesel,Individual,Manual,1,5,126.24,22.7,1582,700000
2013,65000,Diesel,Individual,Manual,1,5,76.9,22.1,1248,300000
2015,100000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,650000
2015,80000,Diesel,Individual,Manual,1,5,88.73,22.54,1396,650000
2013,80000,Diesel,Individual,Manual,3,5,73.9,22.07,1199,350000
2013,60000,Petrol,Individual,Manual,1,5,67.1,20.92,998,240000
2014,50000,Diesel,Individual,Manual,2,7,88.76,20.77,1248,550000
2013,40000,Petrol,Individual,Manual,1,5,67.04,20.51,998,350000
2012,81632,Diesel,Dealer,Manual,1,5,68,20,1399,425000
2014,101504,Diesel,Dealer,Manual,1,5,89.84,22.7,1498,750000
2013,125531,Diesel,Dealer,Manual,2,5,98.59,22.77,1498,600000
2018,40000,Diesel,Individual,Automatic,1,5,108.5,21.5,1497,950000
2013,100000,Diesel,Individual,Manual,3,5,73.94,23.2,1248,409999
2000,206000,Petrol,Individual,Manual,4,5,46.3,19.7,796,108000
2017,40000,Petrol,Individual,Manual,2,5,67.04,23.1,998,425000
2013,70000,Petrol,Individual,Manual,1,5,68.05,19.81,1086,310000
2017,105000,Diesel,Individual,Manual,1,5,88.7,21.38,1396,1125000
2011,80000,Diesel,Individual,Manual,2,5,73.9,22.07,1199,388000
2009,90000,Petrol,Individual,Manual,1,5,46.3,19.7,796,120000
2015,53000,Petrol,Individual,Manual,2,5,47.3,22.74,796,270000
2019,10000,Petrol,Individual,Automatic,1,5,81.8,21.21,1197,600000
2013,25000,Petrol,Individual,Manual,1,5,67.1,20.92,998,215000
2015,74000,Diesel,Individual,Manual,1,5,126.2,19.67,1582,750000
2018,41779,Petrol,Dealer,Manual,1,5,81.8,21.21,1197,795000
2018,15000,Petrol,Dealer,Manual,1,5,81.8,22,1197,750000
2017,63309,Diesel,Dealer,Manual,1,5,126.2,19.67,1582,1150000
2016,35000,Petrol,Individual,Automatic,1,5,67.04,23.1,998,400000
2015,80000,Diesel,Individual,Manual,2,5,74,22.1,1248,480000
2005,40000,Petrol,Individual,Manual,2,5,46.3,19.7,796,90000
2005,40000,Petrol,Individual,Manual,2,5,46.3,19.7,796,80000
2015,90000,Diesel,Individual,Manual,1,5,73.94,23.2,1248,350000
2012,25000,Diesel,Individual,Manual,1,5,65,21.03,1461,350000
2016,40000,Petrol,Individual,Manual,1,5,67.04,20.51,998,340000
2014,65000,Petrol,Individual,Manual,1,5,78.9,20.36,1197,300000
2014,15000,Petrol,Individual,Manual,2,5,47.3,22.74,796,204999
2012,70000,Diesel,Individual,Manual,2,5,65,20.8,1461,254999
2017,50000,Petrol,Individual,Manual,2,5,55.2,21.1,814,280000
2011,80000,Petrol,Individual,Manual,2,5,68.05,19.81,1086,225000
2012,70000,Diesel,Individual,Manual,2,5,65,21.03,1461,260000
2012,60000,Diesel,Individual,Manual,1,5,68,20,1399,280000
2014,106000,Diesel,Individual,Manual,2,5,65,20.8,1461,350000
2013,27000,Petrol,Individual,Manual,1,5,67.1,20.92,998,250000
2007,70000,Petrol,Individual,Manual,2,5,46.3,19.7,796,95000
2017,15000,Petrol,Individual,Manual,1,5,81.8,22,1197,610000
