row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.8499999999999999,0.09229582069908972,0.1
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8444444444444443,0.08534606386520674,0.05
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.8444444444444443,0.07973722274670735,0.1
42,rbf,10.0,-1,0.0,0.0001,3.0,0.9988095238095237,0.8388888888888888,0.10304020550550778,0.01
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.8388888888888887,0.10304020550550781,0.1
31,poly,0.1,10000,0.05,0.001,3.0,0.9904761904761904,0.8277777777777776,0.0773799348732451,0.1
45,rbf,2.0,2000,0.0,0.001,3.0,1.0,0.8222222222222223,0.11732617823301598,0.05
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.8222222222222221,0.0955813918560292,0.1
33,poly,0.5,-1,0.1,0.01,4.0,0.9904761904761903,0.8166666666666665,0.08164965809277261,0.05
43,rbf,1.0,5000,0.0,0.001,3.0,0.9630952380952381,0.8,0.11706281947614154,0.05
41,rbf,5.0,-1,0.0,0.001,3.0,0.9607142857142856,0.8,0.12095300587265134,0.01
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.7999999999999999,0.07934920476158723,0.1
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.7944444444444444,0.11732617823301597,0.2
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.788888888888889,0.12120791238484128,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.788888888888889,0.12120791238484128,0.2
1,linear,0.1,-1,0.0,0.001,3.0,0.9511904761904763,0.788888888888889,0.11331154474650633,
7,linear,0.1,10000,0.0,0.001,3.0,0.9511904761904763,0.788888888888889,0.11331154474650633,
15,sigmoid,10.0,-1,0.0,0.001,,0.9476190476190478,0.788888888888889,0.11331154474650633,0.01
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.7888888888888889,0.0737027731190089,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.7888888888888889,0.0737027731190089,
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.7888888888888889,0.0737027731190089,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.7888888888888889,0.0737027731190089,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.7888888888888889,0.0737027731190089,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.7888888888888889,0.0737027731190089,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.7888888888888889,0.0737027731190089,
4,linear,0.5,-1,0.0,0.0001,3.0,1.0,0.7833333333333333,0.07328281087929399,
9,linear,0.5,-1,0.0,0.01,3.0,1.0,0.7833333333333333,0.07328281087929399,
26,poly,0.5,-1,0.0,0.001,2.0,0.9361111111111112,0.7833333333333333,0.104527154012371,0.05
46,rbf,0.5,-1,0.0,0.01,3.0,0.9357142857142857,0.7833333333333333,0.12838022231434826,0.1
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.7833333333333332,0.07934920476158724,0.2
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.7722222222222221,0.09362388636862623,0.05
40,rbf,1.0,-1,0.0,0.001,3.0,0.825,0.7222222222222221,0.12789849370245931,0.01
12,linear,0.05,-1,0.0,0.0001,3.0,0.8861111111111112,0.722222222222222,0.14487116456005883,
17,sigmoid,1.0,-1,0.0,0.0001,,0.7384920634920634,0.6611111111111111,0.10304020550550783,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.7261904761904762,0.6555555555555556,0.10914934835771391,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.7222222222222221,0.6444444444444444,0.111665284679121,0.05
14,sigmoid,1.0,-1,0.0,0.001,,0.7222222222222221,0.5888888888888889,0.1651785416368723,0.01
18,sigmoid,5.0,-1,0.1,0.001,,0.7384920634920634,0.5833333333333334,0.15214515486254615,0.05
28,poly,5.0,-1,0.1,0.0001,3.0,0.7238095238095238,0.5833333333333334,0.1551582227085438,0.01
39,rbf,0.5,-1,0.0,0.0001,3.0,0.675,0.5555555555555556,0.11653431646335019,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.4595238095238095,0.3777777777777777,0.1356283957303745,0.1
21,sigmoid,2.0,2000,0.0,0.001,,0.40595238095238095,0.3388888888888889,0.13766124103737631,0.1
20,sigmoid,0.1,10000,0.1,0.0001,,0.3956349206349207,0.2777777777777778,0.08425417160057279,0.1
38,rbf,0.1,-1,0.0,0.001,3.0,0.37539682539682545,0.25,0.08606629658238704,0.01
25,poly,0.1,-1,0.0,0.001,2.0,0.37460317460317466,0.25,0.08606629658238704,0.01
13,sigmoid,0.1,-1,0.0,0.001,,0.3734126984126985,0.25,0.08606629658238704,0.01
44,rbf,0.1,10000,0.0,0.0001,3.0,0.39047619047619053,0.24444444444444446,0.071145824860365,0.05
32,poly,2.0,2000,0.0,0.001,4.0,0.3626984126984128,0.22777777777777777,0.0477906959280146,0.01
22,sigmoid,0.5,-1,0.1,0.01,,0.24603174603174602,0.2111111111111111,0.11732617823301598,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.20476190476190478,0.19444444444444448,0.09938079899999067,0.2
