row,kernel,C,max_iter,coef0,tol,degree,Avg_Train_Acc,Avg_Val_Acc,Std_Val_Acc,gamma
27,poly,1.0,-1,0.0,0.001,2.0,1.0,0.8327777777777776,0.054571846402271244,0.1
29,poly,10.0,-1,0.1,0.001,3.0,1.0,0.8249999999999998,0.05806818044546353,0.05
30,poly,1.0,5000,0.0,0.0001,3.0,1.0,0.8227777777777777,0.057437566749245855,0.1
31,poly,0.1,10000,0.05,0.001,3.0,0.9912500000000002,0.805,0.062234621780389646,0.1
45,rbf,2.0,2000,0.0,0.001,3.0,0.9998611111111111,0.8038888888888889,0.057844512741667964,0.05
42,rbf,10.0,-1,0.0,0.0001,3.0,0.9977777777777778,0.7988888888888889,0.059462614045598466,0.01
47,rbf,3.0,-1,0.0,0.001,3.0,1.0,0.7977777777777778,0.05693834655697314,0.1
34,poly,3.0,-1,0.05,0.001,4.0,1.0,0.7905555555555556,0.06763418304414849,0.1
2,linear,1.0,-1,0.0,0.0001,3.0,1.0,0.7855555555555555,0.05801234436536274,
3,linear,10.0,-1,0.0,0.001,3.0,1.0,0.7855555555555555,0.05801234436536274,
5,linear,5.0,-1,0.0,0.01,3.0,1.0,0.7855555555555555,0.057477854028344745,
6,linear,1.0,5000,0.0,0.001,3.0,1.0,0.7855555555555555,0.05801234436536274,
8,linear,2.0,2000,0.0,0.0001,3.0,1.0,0.7855555555555555,0.05801234436536274,
10,linear,3.0,-1,0.0,0.001,3.0,1.0,0.7855555555555555,0.05801234436536274,
11,linear,1.0,1000,0.0,0.01,3.0,1.0,0.7855555555555555,0.057477854028344745,
4,linear,0.5,-1,0.0,0.0001,3.0,1.0,0.7844444444444444,0.057079109062405896,
33,poly,0.5,-1,0.1,0.01,4.0,0.9912500000000002,0.7844444444444444,0.07126718982588702,0.05
9,linear,0.5,-1,0.0,0.01,3.0,1.0,0.7838888888888889,0.05727613425813196,
43,rbf,1.0,5000,0.0,0.001,3.0,0.9648611111111112,0.7805555555555557,0.07163220532348684,0.05
41,rbf,5.0,-1,0.0,0.001,3.0,0.9631944444444446,0.7794444444444446,0.07188167575009627,0.01
49,rbf,5.0,-1,0.0,0.001,3.0,1.0,0.7727777777777777,0.07020472707520276,0.2
50,rbf,10.0,-1,0.0,0.001,3.0,1.0,0.7727777777777777,0.07020472707520276,0.2
26,poly,0.5,-1,0.0,0.001,2.0,0.9362499999999998,0.7722222222222223,0.07576767609436588,0.05
1,linear,0.1,-1,0.0,0.001,3.0,0.9529166666666667,0.7677777777777779,0.07152656417524926,
7,linear,0.1,10000,0.0,0.001,3.0,0.9529166666666667,0.7677777777777779,0.07152656417524926,
48,rbf,1.0,1000,0.0,0.0001,3.0,1.0,0.7616666666666666,0.07413909183603215,0.2
15,sigmoid,10.0,-1,0.0,0.001,,0.9463888888888888,0.7605555555555558,0.07594873189555709,0.01
36,poly,5.0,-1,0.1,0.001,5.0,1.0,0.7605555555555554,0.06958652132861137,0.1
37,poly,10.0,-1,0.0,0.001,5.0,1.0,0.741111111111111,0.07274172134814627,0.2
46,rbf,0.5,-1,0.0,0.01,3.0,0.9377777777777777,0.7355555555555555,0.07782538225705539,0.1
12,linear,0.05,-1,0.0,0.0001,3.0,0.8808333333333331,0.733888888888889,0.0747609358613454,
35,poly,1.0,1000,0.0,0.0001,5.0,1.0,0.732222222222222,0.07238443322178816,0.05
40,rbf,1.0,-1,0.0,0.001,3.0,0.81375,0.6627777777777779,0.07286254605271456,0.01
17,sigmoid,1.0,-1,0.0,0.0001,,0.7461111111111112,0.6538888888888889,0.07601372520639338,0.05
24,sigmoid,1.0,1000,0.05,0.0001,,0.7377777777777778,0.6422222222222222,0.07908426510788552,0.05
18,sigmoid,5.0,-1,0.1,0.001,,0.747638888888889,0.6016666666666667,0.07192460043787623,0.05
16,sigmoid,0.5,-1,0.0,0.001,,0.7168055555555556,0.5972222222222222,0.08521034250098869,0.05
28,poly,5.0,-1,0.1,0.0001,3.0,0.6747222222222223,0.5277777777777777,0.08333333333333333,0.01
14,sigmoid,1.0,-1,0.0,0.001,,0.6741666666666667,0.5233333333333334,0.08595146491472763,0.01
39,rbf,0.5,-1,0.0,0.0001,3.0,0.6375,0.4916666666666667,0.10544584942279057,0.01
19,sigmoid,1.0,5000,0.0,0.001,,0.46527777777777773,0.40944444444444444,0.06206577554358892,0.1
21,sigmoid,2.0,2000,0.0,0.001,,0.41861111111111116,0.37777777777777777,0.06596856715021066,0.1
44,rbf,0.1,10000,0.0,0.0001,3.0,0.41291666666666665,0.30333333333333334,0.12258028359375714,0.05
25,poly,0.1,-1,0.0,0.001,2.0,0.4065277777777777,0.3011111111111111,0.11711026775998258,0.01
38,rbf,0.1,-1,0.0,0.001,3.0,0.40236111111111106,0.29666666666666663,0.10444444444444444,0.01
13,sigmoid,0.1,-1,0.0,0.001,,0.3976388888888889,0.29111111111111115,0.09545860714997022,0.01
20,sigmoid,0.1,10000,0.1,0.0001,,0.38736111111111116,0.28444444444444444,0.056535796592038015,0.1
32,poly,2.0,2000,0.0,0.001,4.0,0.3905555555555555,0.2811111111111111,0.07446102634562893,0.01
22,sigmoid,0.5,-1,0.1,0.01,,0.23722222222222222,0.21055555555555552,0.06480978816486989,0.2
23,sigmoid,3.0,-1,0.0,0.001,,0.20833333333333337,0.20055555555555557,0.05070186399281272,0.2
